reserve_id,priority,category,core_logic_name,title_zh,paper_key,paper_title,authors,year,source_url,closest_existing_v01_v50,structural_difference,causal_landing,pure_spot_fields,side_mapping,small_sample_adaptation,candidate_parameter_dimensions,candidate_schema,candidate_schema_formula,candidate_count_per_side,random_seed_is_candidate_axis,primary_risk,status
V61,A1,得分驱动状态,gas_score_driven_tail,GAS 得分驱动尾部状态,gas,Generalized autoregressive score models,"Creal, Koopman, and Lucas",2013,https://doi.org/10.1002/jae.1279,V37–V40 的手工状态门控,状态由观测得分自动更新，使用 scaled score 而非固定波动/趋势秩。,以 Student-t 或 asymmetric Laplace 的 O2O 观测更新 location/scale/tail state；递推只读历史观测。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,下跌/上涨使用不同 tail score link；状态更新机制共享但参数分侧。,状态维度限制为一到两个、固定 t/ALD 候选、对 score 与 persistence 做 ridge 收缩。,递推状态8 × 持久/记忆8 × 观测链接4 × 覆盖率12,dynamic_quantile,8递推结构 × 8记忆/持久参数 × 4观测与非对称链接 × 12覆盖率,3072,False,分布假设错设、score scaling 和尾部参数识别困难。,reserve_only_not_created_not_run
V62,A1,条件极值,filtered_historical_simulation,波动过滤历史模拟,fhs_evt,Filtered historical simulation / conditional EVT,"Barone-Adesi, Giannopoulos, and Vosper",1999,https://onlinelibrary.wiley.com/doi/10.1002/%28SICI%291096-9934%28199908%2919%3A5%3C583%3A%3AAID-FUT5%3E3.0.CO%3B2-S,V17/V19/V50 的尾部/不确定性分数,用时变尺度过滤后重采样历史标准化残差，直接产生条件尾部经验分布。,滚动估计现货尺度，标准化历史 O2O 残差只用形成时可见窗口；输出两侧经验 quantile。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,同一过滤残差分布取 lower/upper tail；方向侧不共享未来标签。,滚动窗口短集合、指数权重离散、尾部 winsorization 和最小有效样本门槛。,超阈值8 × 波动过滤8 × 尾部收缩4 × 覆盖率12,evt,8阈值定义 × 8波动过滤 × 4尾部收缩 × 12覆盖率,3072,False,历史模拟对窗口漂移敏感，尾部有效样本仍可能很少。,reserve_only_not_created_not_run
V63,A1,状态切换,filtered_markov_switching,过滤后的 Markov 状态,hamilton,A new approach to the economic analysis of nonstationary time series,Hamilton,1989,https://doi.org/10.2307/1912559,V37–V40 的单变量因果状态门控,用隐状态转移概率和 filtered probability 表达 regime，而非手工分位门。,以滞后 O2O/波动/成交冲击构造低维观测，按 Hamilton filter 逐日更新状态概率；不平滑未来。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,两侧共享 filtered regime probability，分别用 state-conditional tail link 输出。,状态数限定 2–3、转移矩阵收缩、固定初始概率和最小状态样本约束。,状态结构8 × 转移/持续8 × 收缩4 × 覆盖率12,regime,8状态或风险率结构 × 8转移/持续期参数 × 4收缩方式 × 12覆盖率,3072,False,局部极大、标签交换和状态数选择风险。,reserve_only_not_created_not_run
V64,A1,状态持续期,hidden_semi_markov_duration,隐半马尔可夫持续期,hsmm,Hidden semi-Markov models for financial time series,Bulla and Bulla,2006,https://doi.org/10.1016/j.csda.2006.07.021,V47 的迟滞持续确认,显式建模状态持续时间分布，区别于只看连续段长度或迟滞分数。,状态观测由现货方向/波动/流动性组成，持续期分布在线更新或因果 forward recursion。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,down/up 状态各自有持续期风险；尾部输出由状态和 duration hazard 联合决定。,状态数、持续期上限、几何/离散 Weibull 两种分布固定小集合，避免全 duration 参数化。,状态结构8 × 持续期/转移8 × 收缩4 × 覆盖率12,regime,8状态或风险率结构 × 8转移/持续期参数 × 4收缩方式 × 12覆盖率,3072,False,持续期参数多、状态与 duration 混淆、样本很小。,reserve_only_not_created_not_run
V65,A1,事件持续,acd_extreme_duration,极端事件 ACD 持续期,acd,Autoregressive conditional duration,Engle and Russell,1998,https://doi.org/10.2307/2999632,V18 的涨跌连续段与 V57 的事件强度,直接对极端事件间隔建条件 duration，而不是对事件计数或信号分数做窗口统计。,事件由已完成 O2O/振幅的预注册阈值定义；间隔到达后用 ACD recursion 更新下一事件风险。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,下跌/上涨事件分别建 duration；跨侧只作为预注册的 competing risk 候选。,只用线性 ACD、指数/Weibull 两种 duration、事件最小间隔与 ridge，降低稀疏偏差。,事件定义8 × 衰减/持续8 × 方向非对称4 × 覆盖率12,event,8事件定义 × 8衰减/持续期 × 4方向非对称 × 12覆盖率,3072,False,极端事件间隔样本少，日历效应和删失处理重要。,reserve_only_not_created_not_run
V66,A1,粗糙波动,rough_fractional_range_kernel,粗糙分数阶区间核,rough,Volatility is rough,"Gatheral, Jaisson, and Rosenbaum",2018,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2509457,V13–V15/V42–V43 的指数递减路径核,使用 H<1/2 的分数阶/幂律记忆，区别于有限个指数半衰期。,对现货真实振幅、平方 O2O 和 gap 构造截断幂律核；核截断和 H 只在 Development 预注册。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,粗糙尺度是共同风险状态；方向冲击按 lower/upper 分别进入链接。,固定少数 H、截断长度和幂律核，使用 log-grid 与强收缩；不拟合高频 rough volatility。,区间代理8 × 幂律记忆8 × 方向非对称4 × 覆盖率12,range_vol,8区间代理 × 8记忆/分解参数 × 4方向非对称 × 12覆盖率,3072,False,H 和截断长度弱识别，低频日线难验证粗糙性。,reserve_only_not_created_not_run
V67,A1,长记忆波动,figarch_tail_scale,FIGARCH 长记忆尾部尺度,figarch,Fractionally integrated GARCH,"Baillie, Bollerslev, and Mikkelsen",1996,https://doi.org/10.1016/S0304-4076(95)01749-6,V13/V16 的波动聚集与半方差,分数差分长记忆替代有限窗口/指数核，直接影响条件 tail scale。,仅用日频现货平方收益/真实振幅递推 fractional volatility；下跌/上涨使用同一尺度的侧向 link。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,共同 FIGARCH scale + 分侧方向/尾部 residual；不建立期权波动。,差分阶数少量候选、低阶 ARMA、固定误差分布和参数边界；报告长记忆估计稳定性。,区间代理8 × 记忆/分解8 × 方向非对称4 × 覆盖率12,range_vol,8区间代理 × 8记忆/分解参数 × 4方向非对称 × 12覆盖率,3072,False,分数差分边界、低频样本和数值优化不稳定。,reserve_only_not_created_not_run
V68,A1,乘法误差,multiplicative_error_range,区间乘法误差模型,arch_frontiers,New frontiers for ARCH models,Engle,2002,https://doi.org/10.1002/jae.683,V09–V16 的波动 rank/核分数,直接对正的区间/波动量建乘法误差和条件尺度，不把波动先转成横截面式秩。,以真实振幅、Parkinson 或 OHLC range 的正值序列做 MEM recursion；方向 tail link 读取尺度创新。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,正尺度共同建模；下跌/上涨分支对创新方向分别加权。,一阶 MEM、Gamma/Lognormal 两种误差、正参数 log-link 和 shrinkage。,区间代理8 × 记忆/分解8 × 方向非对称4 × 覆盖率12,range_vol,8区间代理 × 8记忆/分解参数 × 4方向非对称 × 12覆盖率,3072,False,正值误差假设错设、区间代理与成交量共线。,reserve_only_not_created_not_run
V69,A1,观测方程,range_measurement_garch,区间观测方程 GARCH,realized_garch,Realized GARCH,"Hansen, Huang, and Shek",2012,https://doi.org/10.1002/jae.1234,V09/V10 的 OHLC 波动组合,把潜在波动状态与可观测区间测量方程分开，区别于单层 range feature。,潜在日频尺度由 O2O 波动递推，range measurement 用当天前可见 OHLC 代理；测量方程不看未来。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,共同 latent scale；两侧由带符号 O2O innovation 映射 lower/upper tail。,只保留一个 latent scale 和一个 measurement equation；固定误差分布、强先验和参数边界。,区间代理8 × 记忆/分解8 × 方向非对称4 × 覆盖率12,range_vol,8区间代理 × 8记忆/分解参数 × 4方向非对称 × 12覆盖率,3072,False,潜变量识别困难、measurement error 与真实波动混杂。,reserve_only_not_created_not_run
V70,A1,成分波动,component_garch_tail,永久-暂时成分波动,component_garch,The component GARCH model,Engle and Lee,1999,https://doi.org/10.1093/oso/9780198296836.003.0020,V11/V12 的期限结构与波动压缩释放,显式分离长期慢成分和短期快成分，区别于短长窗口的简单差值。,用现货 O2O/真实振幅递推 permanent/transitory components；两成分都只使用历史。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,下跌/上涨共享慢成分，快成分结合分侧 signed innovation。,两成分、固定半衰期网格、强 shrinkage；不扩展为多成分或高阶交互。,区间代理8 × 记忆/分解8 × 方向非对称4 × 覆盖率12,range_vol,8区间代理 × 8记忆/分解参数 × 4方向非对称 × 12覆盖率,3072,False,成分分解弱识别、参数边界和局部最优。,reserve_only_not_created_not_run
V71,B1,日频流动性,roll_spread_state,Roll 协方差价差状态,roll,A simple implicit measure of the effective bid-ask spread,Roll,1984,https://doi.org/10.1111/j.1540-6261.1984.tb03897.x,V21–V24 的 Amihud/成交额冲击,用相邻收益的负协方差估计隐含价差，机制上利用交易方向反转而非成交额归一化。,对过去日内或 O2O 收益的相邻协方差做滚动 causal estimate；无法识别时标记缺失而不填未来信息。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,spread proxy 为共同状态；方向由 lower/upper O2O 与价差交互分别输出。,窗口离散、协方差 winsorize、非负截断和最小样本门槛；不估计逐笔 spread。,估计窗口8 × 平滑8 × 状态映射4 × 覆盖率12,liquidity,8估计窗口 × 8平滑方式 × 4状态映射 × 12覆盖率,3072,False,日频协方差噪声大，负协方差不一定只来自价差。,reserve_only_not_created_not_run
V72,B1,日频流动性,abdi_ranaldo_spread_state,高低收盘价差状态,abdi_ranaldo,"A simple estimation of bid-ask spreads from daily close, high, and low prices",Abdi and Ranaldo,2017,https://doi.org/10.1093/rfs/hhx084,V59 的 Corwin-Schultz 与 V21–V24,以收盘相对高低区间的位置修正 spread，避免只依赖两日 high-low 组合。,仅用当日及历史 OHLC 形成有效价差 proxy，按滚动中位数/分位状态输入尾部逻辑。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,价差状态共用；方向冲击单独进入 down/up link，避免把流动性当方向。,固定公式、分位 winsorization、窗口少量化；若 high=low 则按预设缺失规则处理。,估计窗口8 × 平滑8 × 状态映射4 × 覆盖率12,liquidity,8估计窗口 × 8平滑方式 × 4状态映射 × 12覆盖率,3072,False,价格位置与 spread 混淆，极窄区间会导致数值不稳定。,reserve_only_not_created_not_run
V73,B1,市场效率,rolling_variance_ratio,滚动方差比,variance_ratio,Stock market prices do not follow random walks,Lo and MacKinlay,1988,https://web.mit.edu/~alo/www/Papers/lo-mackinlay-88.html,V27/V28 的趋势效率/动量,检验多步收益方差是否偏离随机游走，捕捉均值回归或趋势依赖而非收益方向本身。,用 1/5/20 日 O2O 聚合收益与单日收益的因果方差比；只使用 t 以前的 rolling variance。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,VR 偏高/偏低作为共同效率状态；下跌/上涨分别与方向尾部链接。,仅用少量 horizon、Newey-West 或 block 稳健修正、强收缩到 VR=1。,窗口8 × horizon/方差设定8 × 状态映射4 × 覆盖率12,complexity,8窗口 × 8嵌入/分箱设定 × 4复杂度映射 × 12覆盖率,3072,False,方差比重叠收益、非平稳和小样本偏差明显。,reserve_only_not_created_not_run
V74,B1,路径表示,truncated_path_signature,截断路径签名,signature,A primer on the signature method in machine learning,"Lyons, Ni, and Oberhauser",2016,https://arxiv.org/abs/1603.03788,V41/V44 的低维状态距离,用路径迭代积分的 signature 捕捉顺序与交互，区别于手工四分量距离。,对过去短窗口的 O2O、真实振幅、成交冲击和收盘位置构造低阶 lead-lag path signature；窗口结束于 t。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,签名特征进入相同低维 down/up 线性或分位链接；不训练高容量深网。,阶数限制 2–3、维度压缩、固定归一化和 ridge；短样本只保留少量稳定坐标。,窗口8 × 表示方式4 × 距离/归一化4 × 原型复杂度4 × 覆盖率8,pattern,8窗口 × 4表示方式 × 4距离/归一化 × 4原型复杂度 × 8覆盖率,4096,False,维度随阶数爆炸、归一化选择和解释性较弱。,reserve_only_not_created_not_run
V75,B1,信息流,spot_transfer_entropy,现货方向转移熵,transfer_entropy,Measuring information transfer,Schreiber,2000,https://doi.org/10.1103/PhysRevLett.85.461,V02/V33 的符号持续和多数表决,估计过去路径对未来方向的非线性信息增益，而非只计算同一序列的符号占比。,候选源仅为 O2O、range、volume/amount 离散状态；转移概率按 rolling counts 计算，严格滞后。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,分别计算源到下跌/上涨事件的 transfer entropy；禁止使用期权或跨市场源。,状态箱数 2–4、窗口少量化、Dirichlet smoothing 和置换基线；低频只保留一到两个源。,窗口8 × 嵌入/分箱8 × 复杂度映射4 × 覆盖率12,complexity,8窗口 × 8嵌入/分箱设定 × 4复杂度映射 × 12覆盖率,3072,False,离散箱和嵌入敏感，信息量估计方差很大。,reserve_only_not_created_not_run
V76,B1,复杂度,recurrence_quantification,递归图量化,rqa,Recurrence quantification analysis of chaotic data,Zbilut and Webber,1992,https://doi.org/10.1016/0375-9601(92)90426-M,V41/V44 的局部状态相似度,用 recurrence rate、determinism、laminarity 描述状态重复和停滞，不等于最近邻距离。,对低维因果现货状态轨迹生成滚动 recurrence metrics；阈值由过去距离分位预注册。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,RQA 指标作为共同状态；两侧用方向尾部链接，不将 RQA 直接解释为方向。,维度 2–3、recurrence threshold 固定网格、窗口有限和最小点数约束。,窗口8 × 嵌入/阈值8 × 复杂度映射4 × 覆盖率12,complexity,8窗口 × 8嵌入/分箱设定 × 4复杂度映射 × 12覆盖率,3072,False,阈值敏感、短窗口 recurrence 图稀疏和指标相关。,reserve_only_not_created_not_run
V77,B1,复杂度,catch22_tail_classifier,catch22 尾部特征,catch22,Catch22: CAnonical Time-series CHaracteristics,Lubba et al.,2019,https://doi.org/10.1007/s10618-019-00647-x,V01–V50 的人工特征组合,使用经筛选的 canonical time-series characteristics，结构上不同于手工单指标，但保留低维可解释特征。,只在滚动窗口内计算 catch22 的 O2O/振幅/成交序列特征；先锁定特征子集再用简单分位/逻辑映射。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,下跌/上涨使用同一特征提取器和分开的简单 link；不做黑箱端到端分类。,最多 5–8 个预注册特征、标准化和 ridge/logistic 收缩；窗口不超过少量档位。,窗口8 × 特征子集8 × 复杂度映射4 × 覆盖率12,complexity,8窗口 × 8嵌入/分箱设定 × 4复杂度映射 × 12覆盖率,3072,False,特征选择多重比较、样本窗口内估计不稳。,reserve_only_not_created_not_run
V78,B1,模式发现,causal_matrix_profile_discord,因果 Matrix Profile 异常,matrix_profile,Matrix Profile XXIV,Yeh et al.,2016,https://doi.org/10.1109/ICDM.2016.0179,V41 的局部相似度和 V45 的并发事件,以 motif/discord 的最近邻距离发现历史路径异常，且不依赖手工阈值形态名。,只在 t 之前的窗口库计算 matrix profile；当前窗口的 discord score 进入下一日 tail score，禁止未来窗口匹配。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,discord 是共同异常状态；异常方向通过窗口末端 O2O sign 分成 down/up。,窗口长度少量、z-normalization 固定、近似搜索关闭或固定；历史库设最小样本门槛。,窗口8 × 表示方式4 × 距离/归一化4 × 原型复杂度4 × 覆盖率8,pattern,8窗口 × 4表示方式 × 4距离/归一化 × 4原型复杂度 × 8覆盖率,4096,False,计算成本、首次窗口不足和异常方向混淆。,reserve_only_not_created_not_run
V79,B1,校准弃权,adaptive_conformal_tail,漂移自适应共形尾部,adaptive_conformal,Adaptive conformal inference under distribution shift,Gibbs and Candès,2021,https://papers.neurips.cc/paper_files/paper/2021/hash/0d441de75945e5acbc865406fc9a2559-Abstract.html,V46/V50 的冲突弃权与不确定性门控,根据近期覆盖误差动态调节阈值，区别于固定 coverage/静态 margin。,基准分数来自已锁定的现货逻辑；校准误差在过去窗口递推，形成日 t 的 conformal threshold。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,lower/upper 分别校准非一致性分数；弃权时不发出该侧信号。,校准窗口、步长和学习率少量离散；不宣称非交换时序有限样本保证。,基准分数8 × 校准窗/步长8 × 非交换修正4 × 目标覆盖率12,conformal,8基准分数 × 8校准窗/步长 × 4非交换性修正 × 12目标覆盖率,3072,False,漂移下覆盖仍不稳定，阈值可能随稀有事件剧烈跳动。,reserve_only_not_created_not_run
V80,B1,区间预测,time_weighted_cqr,时间加权共形分位回归,cqr,Conformalized quantile regression,"Romano, Patterson, and Candès",2019,https://proceedings.neurips.cc/paper_files/paper/2019/hash/5103c3584b063c431bd1268e9b5e76fb-Abstract.html,V49/V50 的分位带距离与不确定性门控,以 quantile model 的预测区间加共形残差校准，输出可解释的条件区间而非单分数。,分位基模型只使用因果现货特征；calibration residual 以时间权重递推，输出下/上区间及弃权。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,下跌看 lower interval breach；上涨看 upper interval breach；两侧阈值独立。,固定低容量 quantile base、时间权重网格、校准窗口与最小覆盖样本。,基准分数8 × 校准窗/步长8 × 非交换修正4 × 目标覆盖率12,conformal,8基准分数 × 8校准窗/步长 × 4非交换性修正 × 12目标覆盖率,3072,False,区间宽度受基模型错设影响，时间加权削弱有效样本量。,reserve_only_not_created_not_run
